0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
73.5,70.0,69.0,69.0,66.0,61.5,58.0,54.0,51.5,48.0,45.0,41.0,39.5,37.0,35.0,32.0,29.5,28.0,27.0,26.0,24.0,24.0,23.0,23.0,25.0,26.0,26.0,27.0
74.0,71.0,71.0,70.0,67.0,62.0,58.0,54.0,52.0,48.0,43.0,41.0,39.5,35.5,35.0,33.0,28.0,29.0,27.0,24.0,24.0,24.0,23.0,22.0,25.0,26.0,27.0,26.5
75.0,70.0,72.0,71.0,68.0,64.0,59.0,57.0,52.0,50.0,44.5,40.0,39.0,36.0,35.0,33.0,34.0,33.0,29.0,23.0,23.0,23.0,23.0,24.0,24.0,27.0,27.0,28.0
76.5,70.0,73.0,72.0,69.5,65.0,63.0,60.0,56.0,53.0,49.0,46.0,44.0,37.0,35.5,37.5,41.5,53.0,57.0,41.0,26.5,18.5,21.0,22.0,24.0,26.0,26.0,28.0
77.0,71.0,73.0,71.0,69.0,66.0,67.0,67.0,63.0,61.0,57.5,53.0,50.0,43.0,43.0,53.0,62.0,69.0,78.0,65.0,52.0,44.0,29.0,20.0,23.0,25.0,27.0,29.0
76.0,71.0,71.0,71.0,69.0,66.5,66.0,69.0,68.0,69.0,67.0,65.0,63.0,54.0,67.0,79.0,85.0,95.5,94.0,80.5,72.0,64.5,38.0,21.0,19.0,22.0,24.0,25.0
77.0,72.0,71.0,70.5,67.0,66.0,67.0,64.0,62.5,64.0,65.0,68.0,80.0,91.0,93.0,105.5,106.5,95.0,87.0,75.0,71.0,56.0,33.0,31.0,37.0,20.0,22.0,25.0
77.0,72.0,70.0,70.0,65.0,64.0,68.0,66.0,62.0,59.5,60.0,81.5,102.0,108.0,112.0,111.5,101.5,86.0,85.0,87.0,84.0,80.0,51.0,32.0,51.0,26.0,22.0,26.0
76.0,71.5,72.0,75.0,73.0,71.0,68.0,61.0,52.0,53.0,69.5,93.0,107.0,115.0,115.0,106.0,88.0,82.0,87.0,89.0,91.0,88.0,69.0,42.0,65.0,47.0,20.0,24.0
75.0,77.0,80.0,80.0,78.0,73.0,71.0,63.5,49.0,46.0,78.5,104.0,112.5,114.0,109.0,100.0,86.0,85.0,87.0,88.0,92.0,94.0,80.0,61.0,67.0,67.5,20.0,22.0
79.0,77.5,79.5,79.0,75.0,70.0,68.0,64.0,50.0,50.5,83.0,99.5,105.0,108.0,98.0,83.0,80.0,91.0,93.0,93.0,94.0,90.0,84.0,69.0,69.0,67.0,24.0,22.0
81.0,77.0,75.5,73.5,73.0,70.0,71.0,62.0,50.0,60.0,86.0,99.0,106.0,97.0,87.0,73.0,88.0,97.0,101.0,99.0,95.0,91.5,90.0,81.0,76.0,58.0,29.0,21.0
81.0,73.0,72.0,73.0,72.0,73.0,77.0,58.0,51.0,73.0,89.5,100.0,106.0,93.5,84.0,88.0,103.0,108.0,104.0,105.0,99.0,98.0,96.0,84.0,78.0,44.5,30.0,23.0
75.5,73.0,75.0,74.0,71.0,74.0,74.0,53.0,54.5,82.0,89.0,98.5,101.0,93.0,82.0,103.0,121.0,115.0,110.0,105.0,99.0,97.0,92.0,85.0,78.5,31.0,33.0,28.0
75.0,76.0,76.5,73.0,72.0,78.0,69.0,53.0,56.0,88.0,91.0,97.5,91.0,85.0,80.0,119.0,124.0,119.0,111.0,104.0,99.0,96.0,94.0,90.0,70.0,40.0,40.0,26.0
75.0,78.5,78.0,76.5,78.0,78.0,72.0,58.0,67.0,90.0,89.0,86.0,82.0,78.0,96.0,112.0,115.0,117.5,109.0,102.0,101.0,97.0,94.0,95.0,77.0,60.0,51.0,36.5
75.0,79.0,78.0,77.5,81.0,77.0,72.0,54.0,70.0,96.0,80.0,85.0,80.0,89.0,112.5,117.0,124.0,123.0,104.0,93.5,99.5,98.0,96.0,90.0,89.0,81.0,64.0,54.0
76.0,82.0,81.0,79.5,81.0,77.0,70.0,57.0,71.0,97.0,91.0,84.0,87.0,99.0,111.0,121.0,125.0,114.0,94.0,98.0,99.0,96.0,101.0,94.5,92.0,87.5,75.0,59.0
80.0,84.0,82.0,82.0,78.0,83.0,76.0,60.0,78.0,102.5,99.5,95.0,97.0,99.0,109.0,122.0,121.0,105.0,96.0,104.0,98.5,104.0,104.0,101.0,102.0,95.5,87.0,75.0
78.0,84.0,83.0,84.0,78.0,85.0,83.0,75.0,82.0,103.0,102.0,97.0,97.0,96.0,107.0,110.0,110.0,85.0,102.0,105.0,99.0,105.0,108.0,106.0,109.5,100.0,93.0,89.0
74.0,78.0,79.0,81.0,78.0,88.0,79.0,77.0,84.0,102.0,102.5,92.0,91.0,93.0,96.5,97.0,98.0,89.0,102.0,101.0,104.0,106.0,112.0,111.0,115.0,110.5,103.0,95.0
74.0,77.0,75.0,75.0,77.5,84.5,76.0,76.5,86.0,104.0,102.0,96.0,86.0,85.0,89.0,101.0,101.0,97.0,99.0,100.0,109.0,115.0,114.0,116.0,116.0,113.0,106.0,94.0
78.0,79.0,81.5,78.0,77.0,86.0,76.0,78.0,98.0,102.5,104.5,93.0,83.5,75.5,78.0,100.0,90.5,95.0,94.0,101.0,107.0,111.0,117.0,117.0,115.0,112.0,104.5,98.0
76.5,76.0,79.0,77.0,76.0,81.0,72.0,86.0,103.0,108.0,104.5,91.0,82.0,75.0,87.0,87.0,86.0,89.0,89.0,93.5,103.0,115.0,114.0,117.0,115.0,114.5,107.0,101.0
74.0,74.0,77.0,75.0,76.0,76.0,75.0,88.0,102.0,105.0,99.0,96.0,92.0,88.0,82.0,84.0,79.0,85.0,107.0,100.0,106.5,110.0,110.5,111.0,109.0,109.0,106.0,104.0
76.0,74.0,72.0,68.0,69.0,72.0,80.0,94.0,100.0,101.0,96.0,97.0,100.0,80.5,78.0,81.0,93.0,110.0,110.0,100.0,103.0,105.0,107.0,109.5,108.0,105.5,103.0,96.5
77.5,67.0,65.0,62.0,66.0,78.0,83.0,92.0,102.0,98.0,91.0,91.0,77.0,80.0,93.0,107.0,109.0,115.0,111.0,98.5,97.0,96.0,99.0,102.0,101.0,102.0,98.0,92.0
68.5,57.0,63.0,63.0,67.0,77.0,82.5,92.0,96.0,94.0,86.0,84.0,77.0,103.0,115.0,114.0,112.0,120.0,107.0,99.0,99.5,100.0,100.0,96.0,99.0,98.0,93.0,92.0
